rule,wolfram_class,g_entropy_mean,g_entropy_std,g_corr_length_mean,g_temporal_acf_mean,g_compressibility_mean
238,0,0.0,0.0,0.0,1.0,0.2376237623762376
239,1,0.0,0.0,0.0,1.0,0.2376237623762376
240,0,0.0,0.0,0.0,1.0,0.2376237623762376
241,0,0.522379028161014,0.11511824581386837,1.84,1.0,0.3764356435643564
242,0,0.40453145333817875,0.06321374586915862,1.0,1.0,0.3724752475247524
243,0,0.8917848276590671,0.06400400391066542,1.72,1.0,0.46772277227722775
244,0,0.7041355487326771,0.08224010161895091,1.0,1.0,0.439009900990099
245,0,0.9422541852490747,0.04387349194555399,1.0,1.0,0.48396039603960395
246,0,0.5948013260901891,0.037528183893685764,1.0,1.0,0.4116831683168317
247,1,0.9337060372373804,0.05968053468795355,2.04,1.0,0.4314851485148515
248,0,0.0,0.0,0.0,1.0,0.2376237623762376
249,0,0.0,0.0,0.0,1.0,0.2376237623762376
250,1,0.0,0.0,0.0,1.0,0.2376237623762376
251,0,0.0,0.0,0.0,1.0,0.2376237623762376
252,1,0.0,0.0,0.0,1.0,0.2376237623762376
253,1,0.0,0.0,0.0,1.0,0.2376237623762376
254,1,0.0,0.0,0.0,1.0,0.2376237623762376
255,1,0.0,0.0,0.0,1.0,0.2376237623762376
